Key,Id,Shared Comment,English(en),English(en) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments,Chinese (Simplified)(zh),Chinese (Simplified)(zh) Comments,French (France)(fr-FR),French (France)(fr-FR) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments,Japanese(ja),Japanese(ja) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments,Portuguese(pt),Portuguese(pt) Comments,Russian (Russia)(ru-RU),Russian (Russia)(ru-RU) Comments,Spanish(es),Spanish(es) Comments,Turkish (Turkey)(tr-TR),Turkish (Turkey)(tr-TR) Comments
"DamageIncrease-Detail",25052475392,"","Increases attackDamage by {value1}%.","","공격력이 {value1}% 증가합니다.","","伤害提高了 {value1}%.","","Augmente les dégâts d'attaque de {value1} %.","","Erhöht den Angriffsschaden um {value1} %.","","攻撃力が{value1}% 増加します.","","Zwiększa obrażenia ataku o {value1}%.","","Aumenta attackDamage em {value1}%.","","Увеличивает урон от атаки на {value1}%.","","Aumenta el daño de ataque en {value1}%.","","Saldırı Hasarını %{value1} arttırır.",""
"DefenceIncrease-Detail",572727914496,"","Increases defense by {value1}.","","방어력이 {value1} 증가합니다.","","防御提高 {value1}.","","Augmente la défense de {value1}.","","Erhöht die Verteidigung um {value1}.","","防御力が{value1} 増加します.","","Zwiększa obronę o {value1}.","","Aumenta a defesa em {value1}.","","Увеличивает защиту на {value1}.","","Aumenta la defensa en {value1}.","","Savunmayı {value1} arttırır.",""
"HealthRegenerate-Detail",628667346944,"","Recovers HP by {value1} every {BRT1}.","","{BRT1}초 마다 HP를 {value1} 만큼 회복합니다.","","每 {BRT1} 秒恢复 {value1} 点生命值.","","Récupère HP de {value1} tous les {BRT1}.","","Stellt alle {BRT1} HP um {value1} wieder her.","","{BRT1}秒ごとにHPを{value1}だけ回復します.","","Odzyskuje HP o {value1} co {BRT1}.","","Recupera HP em {value1} a cada {BRT1}.","","Восстанавливает HP на {value1} каждые {BRT1}.","","Recupera HP por {value1} cada {BRT1}.","","Her {BRT1} HP'yi {value1} oranında yeniler.",""
"SlowDownImmunity-Detail",672770453504,"","Immune to slow down.","","둔화 상태에 면역이 됩니다.","","免疫减速.","","Immunisé au ralentissement.","","Immun gegen Verlangsamung.","","減速する免疫.","","Odporny na spowolnienie.","","Imune a desacelerar.","","Иммунитет к замедлению.","","Inmune a ralentizar.","","Yavaşlamaya karşı bağışıklık.",""
"StunImmunity-Detail",773999980544,"","Immune to stun.","","기절 상태에 면역이 됩니다.","","免疫眩晕.","","Immunisé contre l'étourdissement.","","Immun gegen Betäubung.","","気絶する免疫.","","Odporny na ogłuszenie.","","Imune a atordoar.","","Иммунитет к оглушению.","","Inmune al aturdimiento.","","Sersemletmeye karşı bağışıklık.",""
"Burn-Detail",2195629961216,"","You take {BD1} damage every {BRT1} seconds.","","{BRT1}초 마다 {BD1}의 데미지를 받습니다.","","你每 {BRT1} 秒受到 {BD1} 伤害.","","Vous subissez {BD1} dégâts toutes les {BRT1} secondes.","","Du erleidest alle {BRT1} Sekunden {BD1} Schaden.","","{BRT1}秒ごとに{BD1}のダメージを受けます.","","Otrzymujesz {BD1} obrażeń co {BRT1} sek.","","Você sofre {BD1} de dano a cada {BRT1} segundos.","","Вы получаете {BD1} урона каждые {BRT1} секунд.","","Recibes {BD1} de daño cada {BRT1} segundos.","","Her {BRT1} saniyede bir {BD1} hasar alırsınız.",""
"DecreaseDefense-Detail",2239594655744,"","Defense decrease by {value2}.","","방어력이 {value2} 감소합니다.","","防御减少 {value2}.","","La défense est réduite de {value2}.","","Verteidigung wird um {value2} reduziert.","","防御力は{value2}減少します.","","Obrona zostaje zmniejszona o {value2}.","","A defesa é reduzida em {value2}.","","Защита снижена на {value2}.","","La defensa se reduce en {value2}.","","Savunma {value2} azaltılır.",""
"Maimed-Detail",2300718247936,"","Attack speed and movement speed decrease by {value1}%.","","공격속도와 이동속도가 {value1}% 만큼 감소합니다.","","攻击速度和移动速度降低 {value1}%.","","La vitesse d'attaque et la vitesse de déplacement sont réduites de {value1} %.","","Angriffsgeschwindigkeit und Bewegungsgeschwindigkeit werden um {value1} % reduziert.","","攻撃速度と移動速度は{value1}％減少します.","","Prędkość ataku i prędkość ruchu są zmniejszone o {value1}%.","","A velocidade de ataque e a velocidade de movimento são reduzidas em {value1}%.","","Скорость атаки и скорость передвижения снижены на {value1}%.","","La velocidad de ataque y la velocidad de movimiento se reducen un {value1}%.","","Saldırı hızı ve hareket hızı %{value1} azaltılır.",""
"Poison-Detail",2338307600384,"","You take {BD1} damage every {BRT1} seconds.","","{BRT1}초 마다 {BD1}의 데미지를 받습니다.","","你每 {BRT1} 秒受到 {BD1} 伤害.","","Vous subissez {BD1} dégâts toutes les {BRT1} secondes.","","Du erleidest alle {BRT1} Sekunden {BD1} Schaden.","","{BRT1}秒ごとに{BD1}のダメージを受けます.","","Otrzymujesz {BD1} obrażeń co {BRT1} sek.","","Você sofre {BD1} de dano a cada {BRT1} segundos.","","Вы получаете {BD1} урона каждые {BRT1} секунд.","","Recibes {BD1} de daño cada {BRT1} segundos.","","Her {BRT1} saniyede bir {BD1} hasar alırsınız.",""
"SlowDown-Detail",2364467474432,"","Movement speed decrease by {value1}%.","","이동속도가 {value1}% 감소합니다.","","移动速度降低 {value1}%.","","La vitesse de déplacement est réduite de {value1} %.","","Die Bewegungsgeschwindigkeit wird um {value1} % reduziert.","","移動速度は{value1}% 減少します.","","Szybkość ruchu zostaje zmniejszona o {value1}%.","","A velocidade de movimento é reduzida em {value1}%.","","Скорость передвижения снижена на {value1}%.","","La velocidad de movimiento se reduce en {value1}%.","","Hareket hızı %{value1} azaltıldı.",""
